"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Demo Playwright Project","0","Mixed passing and failing tests","0","0","Intentional failure - search result URL","0"
"0","Demo Playwright Project","0","Mixed passing and failing tests","1","0","Open Google home page","0"
"0","Demo Playwright Project","1","Mixed passing and failing tests","0","0","Intentional failure - boolean condition","0"
"0","Demo Playwright Project","1","Mixed passing and failing tests","0","0","Title does not equal exact string","0"
"0","Demo Playwright Project","0","Mixed passing and failing tests","1","0","Simple assertion demo - pass","0"
"0","Demo Playwright Project","0","Mixed passing and failing tests","1","0","Another UI check","0"
"1","Demo Playwright Project","0","Mixed passing and failing tests","0","0","Search for Playwright","0"
"0","Demo Playwright Project","1","Mixed passing and failing tests","0","0","Intentional failure - math","0"
"0","Demo Playwright Project","1","Mixed passing and failing tests","0","0","Intentional failure - wrong title","0"
"0","Demo Playwright Project","0","Google Homepage","1","0","Open Google and verify title","0"
"0","Demo Playwright Project","1","Mixed passing and failing tests","0","0","Intentional failure - string equality","0"
